key,ko,en,ja,zhCN,zhTW,ru,de
tooltip.option,옵션 메뉴 열기,Options,オプション,选项,選項,Настройки,Optionen
tooltip.back,이전 화면으로 돌아가기,Go Back,前の画面に戻る,返回,返回,Назад,Zurück
tooltip.Tutorial,튜토리얼 열기,Tutorial,チュートリアル,教程,教學,Обучение,Tutorial
tooltip.Play,게임 시작,Start Game,ゲーム開始,开始游戏,開始遊戲,Начать игру,Spiel Starten
tooltip.FullScreen,전체 보기,View Entire Stage,ステージ全体を見る,全景查看,查看整個關卡,Показать весь уровень,Gesamte Bühne Anzeigen
tooltip.ResetCamera,카메라 크기 리셋,Reset Camera,カメラをリセット,重置视角,重設視角,Сбросить камеру,Kamera Zurücksetzen
tooltip.rotate,회전,Rotate,回転,旋转,旋轉,Повернуть,Drehen
tooltip.flip_x,좌우 반전,Flip Horizontally,左右反転,左右反転 水平翻转,左右翻轉,Отразить по горизонтали,Horizontal Spiegeln
tooltip.flip_y,상하 반전,Flip Vertically,上下反転,上下反転 垂直翻转,上下翻轉,Отразить по вертикали,Vertikal Spiegeln
tooltip.delete,삭제,Delete,削除,删除,刪除,Удалить,Löschen
tooltip.grid_on,그리드 표시,Show Grid,グリッドを表示,显示网格,顯示網格,Показать сетку,Raster Anzeigen
tooltip.grid_off,그리드 숨기기,Hide Grid,グリッドを非表示,隐藏网格,隱藏網格,Скрыть сетку,Raster Ausblenden
tooltip.BuildMode,배치 모드,Build Mode,配置モード,建造模式,建造模式,Режим строительства,Baumodus
tooltip.ReturnToWorkView,배치 화면으로 복귀,Back to Build View,配置ビューに戻る,返回建造界面,返回建造畫面,Вернуться в режим строительства,Zurück zum Baumodus
tooltip.rail_continue_on,레일 연속 설치 켜기,Continuous Rail: ON,レール連続設置をオン,连续轨道：开,連續鋪設軌道：開,Непрерывная установка рельсов: ВКЛ,Kontinuierliche Schienenplatzierung: EIN
tooltip.rail_continue_off,레일 연속 설치 끄기,Continuous Rail: OFF,レール連続設置をオフ,连续轨道：关,連續鋪設軌道：關,Непрерывная установка рельсов: ВЫКЛ,Kontinuierliche Schienenplatzierung: AUS
tooltip.skip,건너뛰기,Skip,スキップ,跳过,跳過,Пропустить,Überspringen
,,,,,,,
hint_place_confirm_cancel,좌클릭: 설치 / 우클릭: 취소,Left Click: Place / Right Click: Cancel,左クリック: 配置 / 右クリック: キャンセル,左键：放置 / 右键：取消,左鍵：放置／右鍵：取消,ЛКМ: Разместить / ПКМ: Отмена,Linksklick: Platzieren / Rechtsklick: Abbrechen
hint_rail_place,좌클릭: 설치,Left Click: Place,左クリック: 配置,左键：放置,左鍵：放置,ЛКМ: Разместить,Linksklick: Platzieren
hint_rail_drag,드래그: 조정,Drag: Adjust,ドラッグ: 調整,拖动：调整,拖曳：調整,Перетаскивание: Настроить,Ziehen: Anpassen
